Date,Adj Close,Close,High,Low,Open,Volume,daily_return,lag_return_1,lag_return_2,moving_avg_5,moving_avg_20,volatility_5,target_direction
1994-02-25,26.404232025146484,46.8125,46.8125,46.5625,46.65625,531300,0.0046948356807512415,-0.013236267372600974,-0.0026402640264026056,46.96875,47.3734375,0.009077035585893373,0
1994-02-28,26.404232025146484,46.8125,47.0625,46.8125,46.9375,333000,0.0,0.0046948356807512415,-0.013236267372600974,46.95625,47.3203125,0.008716822374054157,0
1994-03-01,26.298480987548828,46.625,46.90625,46.375,46.8125,423600,-0.004005340453938633,0.0,0.0046948356807512415,46.8125,47.240625,0.006597817608312264,1
1994-03-02,26.333738327026367,46.6875,46.6875,45.90625,46.03125,581500,0.0013404825737264314,-0.004005340453938633,0.0,46.70625,47.1765625,0.006891366274478462,0
1994-03-03,26.263229370117188,46.5625,46.625,46.4375,46.625,223200,-0.0026773761713521083,0.0013404825737264314,-0.004005340453938633,46.7,47.090625,0.003426574309149524,1
1994-03-04,26.333738327026367,46.6875,46.8125,46.40625,46.5625,595800,0.0026845637583892135,-0.0026773761713521083,0.0013404825737264314,46.675,47.021875,0.002774987799106385,1
1994-03-07,26.474735260009766,46.9375,47.0,46.84375,46.84375,539800,0.0053547523427042165,0.0026845637583892135,-0.0026773761713521083,46.7,47.0203125,0.003854652829812308,0
1994-03-08,26.36897850036621,46.75,46.96875,46.6875,46.96875,880300,-0.003994673768308976,0.0053547523427042165,0.0026845637583892135,46.725,46.9984375,0.003851510411209033,1
1994-03-09,26.49237060546875,46.96875,47.0,46.59375,46.8125,2500100,0.004679144385026701,-0.003994673768308976,0.0053547523427042165,46.78125,46.9859375,0.004289189695599669,0
1994-03-10,26.280847549438477,46.59375,46.9375,46.4375,46.9375,207400,-0.007984031936127733,0.004679144385026701,-0.003994673768308976,46.7875,46.9453125,0.0058601916445923195,1
1994-03-11,26.42186737060547,46.84375,46.90625,46.40625,46.65625,576600,0.005365526492287165,-0.007984031936127733,0.004679144385026701,46.81875,46.9375,0.006259364228400133,1
1994-03-14,26.457101821899414,46.90625,47.03125,46.84375,47.03125,345900,0.0013342228152102287,0.005365526492287165,-0.007984031936127733,46.8125,46.925,0.00574660001258105,0
1994-03-15,26.439481735229492,46.875,47.09375,46.84375,47.0,748600,-0.0006662225183211579,0.0013342228152102287,0.005365526492287165,46.8375,46.9078125,0.005365699889546159,1
1994-03-16,26.651002883911133,47.25,47.25,46.78125,46.9375,455500,0.008000000000000007,-0.0006662225183211579,0.0013342228152102287,46.89375,46.896875,0.006153014827417461,0
1994-03-17,26.651002883911133,47.25,47.3125,47.09375,47.09375,133000,0.0,0.008000000000000007,-0.0006662225183211579,47.025,46.8875,0.0037291052102171765,0
1994-03-18,26.645185470581055,46.96875,47.03125,46.71875,46.75,365500,-0.005952380952380931,0.0,0.008000000000000007,47.05,46.878125,0.005004496085570444,0
1994-03-21,26.574289321899414,46.84375,46.9375,46.71875,46.8125,324800,-0.0026613439787092075,-0.005952380952380931,0.0,47.0375,46.8765625,0.005163085078820275,1
1994-03-22,26.645185470581055,46.96875,47.0625,46.75,46.84375,435700,0.0026684456304202353,-0.0026613439787092075,-0.005952380952380931,47.05625,46.8578125,0.00531012752736073,0
1994-03-23,26.62746810913086,46.9375,47.0625,46.90625,46.9375,698500,-0.0006653359946773296,0.0026684456304202353,-0.0026613439787092075,46.99375,46.84375,0.00321468575163208,0
1994-03-24,26.30835723876953,46.375,46.84375,46.15625,46.75,1200500,-0.011984021304926817,-0.0006653359946773296,0.0026684456304202353,46.81875,46.8328125,0.005579908812455867,0
1994-03-25,26.060155868530273,45.9375,46.53125,45.9375,46.40625,100900,-0.009433962264150941,-0.011984021304926817,-0.0006653359946773296,46.6125,46.7890625,0.006119447626618077,1
1994-03-28,26.095617294311523,46.0,46.0625,45.59375,46.0,1117200,0.0013605442176871652,-0.009433962264150941,-0.011984021304926817,46.44375,46.7484375,0.006649041302674843,0
1994-03-29,25.581518173217773,45.09375,46.03125,45.09375,46.0,338400,-0.01970108695652173,0.0013605442176871652,-0.009433962264150941,46.06875,46.671875,0.008605597913119455,0
1994-03-30,25.226970672607422,44.46875,45.25,44.46875,45.125,1123900,-0.013860013860013898,-0.01970108695652173,0.0013605442176871652,45.575,46.5609375,0.007741297254448862,1
1994-03-31,25.297870635986328,44.59375,44.6875,43.53125,44.46875,788800,0.0028109627547434624,-0.013860013860013898,-0.01970108695652173,45.21875,46.4625,0.009715082936705805,0
1994-04-04,24.90785026550293,43.90625,44.03125,43.34375,43.34375,2627300,-0.015416958654519974,0.0028109627547434624,-0.013860013860013898,44.8125,46.3234375,0.010321610683873614,1
1994-04-05,25.42196273803711,44.8125,44.8125,44.34375,44.34375,1179000,0.020640569395017794,-0.015416958654519974,0.0028109627547434624,44.575,46.2171875,0.016744620947975568,0
1994-04-06,25.42196273803711,44.8125,44.90625,44.5,44.875,516500,0.0,0.020640569395017794,-0.015416958654519974,44.51875,46.1203125,0.014636683912564957,1
1994-04-07,25.546051025390625,45.03125,45.125,44.53125,44.78125,666100,0.004881450488145145,0.0,0.020640569395017794,44.63125,46.0234375,0.01286546787406708,0
1994-04-08,25.351051330566406,44.6875,44.9375,44.46875,44.9375,242400,-0.007633587786259555,0.004881450488145145,0.0,44.65,45.928125,0.013643627672554556,1
1994-04-11,25.457420349121094,44.875,45.0625,44.703125,44.8125,203300,0.00419580419580412,-0.007633587786259555,0.004881450488145145,44.84375,45.8296875,0.01034644142486184,0
1994-04-12,25.42196273803711,44.8125,45.0,44.71875,44.921875,1409200,-0.0013927576601671099,0.00419580419580412,-0.007633587786259555,44.84375,45.725,0.005040938646674153,0
1994-04-13,25.288991928100586,44.578125,44.90625,44.25,44.796875,364100,-0.005230125523012608,-0.0013927576601671099,0.00419580419580412,44.796875,45.61015625,0.005559544154611871,1
1994-04-14,25.297870635986328,44.59375,44.828125,44.40625,44.5,419900,0.000350508236943492,-0.005230125523012608,-0.0013927576601671099,44.709375,45.47734375,0.004648543924959423,0
1994-04-15,25.297870635986328,44.59375,44.78125,44.515625,44.578125,387300,0.0,0.000350508236943492,-0.005230125523012608,44.690625,45.34453125,0.0033970276177786936,0
1994-04-18,25.129446029663086,44.296875,44.765625,44.15625,44.640625,369100,-0.006657323055360931,0.0,0.000350508236943492,44.575,45.2109375,0.0031741682017312183,1
1994-04-19,25.164901733398438,44.359375,44.53125,43.984375,44.25,472200,0.001410934744268122,-0.006657323055360931,0.0,44.484375,45.08671875,0.0036496766382758264,0
1994-04-20,25.138317108154297,44.3125,44.515625,44.078125,44.40625,508000,-0.0010567101091933928,0.001410934744268122,-0.006657323055360931,44.43125,44.95390625,0.0031805468640193897,1
1994-04-21,25.475147247314453,44.90625,44.96875,44.34375,44.5,200300,0.013399153737658764,-0.0010567101091933928,0.001410934744268122,44.49375,44.85234375,0.00736365812695815,0
1994-04-22,25.44855308532715,44.859375,45.046875,44.734375,45.015625,301800,-0.0010438413361169019,0.013399153737658764,-0.0010567101091933928,44.546875,44.7765625,0.007428465355918316,1
1994-04-25,25.714466094970703,45.328125,45.359375,44.84375,44.84375,394600,0.010449320794148287,-0.0010438413361169019,0.013399153737658764,44.753125,44.74609375,0.006812783289188045,0
1994-04-26,25.687870025634766,45.28125,45.34375,45.1875,45.265625,399000,-0.0010341261633919352,0.010449320794148287,-0.0010438413361169019,44.9375,44.71015625,0.007179641482375336,0
1994-04-28,25.50173568725586,44.953125,45.25,44.8125,45.1875,287000,-0.007246376811594235,-0.0010341261633919352,0.010449320794148287,45.065625,44.703125,0.008677622842162046,1
1994-04-29,25.581518173217773,45.09375,45.15625,44.8125,44.875,481900,0.0031282586027112647,-0.007246376811594235,-0.0010341261633919352,45.103125,44.734375,0.006519687564560198,1
1994-05-02,25.741065979003906,45.375,45.71875,44.9375,45.09375,275000,0.006237006237006293,0.0031282586027112647,-0.007246376811594235,45.20625,44.7734375,0.006797921281648546,0
1994-05-03,25.714466094970703,45.328125,45.40625,45.0625,45.390625,183400,-0.0010330578512396382,0.006237006237006293,0.0031282586027112647,45.20625,44.84453125,0.0050826252165175525,0
1994-05-04,25.670148849487305,45.25,45.421875,45.078125,45.421875,401900,-0.0017235436056531883,-0.0010330578512396382,0.006237006237006293,45.2,44.86640625,0.005127199551964315,0
1994-05-05,25.63469123840332,45.1875,45.375,45.1875,45.296875,659800,-0.0013812154696132284,-0.0017235436056531883,-0.0010330578512396382,45.246875,44.88515625,0.003505944010067734,0
1994-05-06,25.386510848999023,44.75,44.96875,44.59375,44.96875,216300,-0.009681881051175623,-0.0013812154696132284,-0.0017235436056531883,45.178125,44.87109375,0.005636603408544066,0
1994-05-09,25.164901733398438,44.359375,44.75,44.28125,44.625,499300,-0.008729050279329575,-0.009681881051175623,-0.0013812154696132284,44.975,44.8546875,0.004306724310153204,1
1994-05-10,25.359909057617188,44.703125,44.84375,44.546875,44.578125,583400,0.00774920746741814,-0.008729050279329575,-0.009681881051175623,44.85,44.84609375,0.007017130896544501,0
1994-05-11,25.129446029663086,44.296875,44.71875,44.171875,44.65625,210600,-0.009087731562390733,0.00774920746741814,-0.008729050279329575,44.659375,44.8203125,0.007502981515196284,1
1994-05-12,25.253538131713867,44.515625,44.625,44.40625,44.578125,305200,0.004938271604938205,-0.009087731562390733,0.00774920746741814,44.525,44.8171875,0.008559855635498697,0
1994-05-13,25.253538131713867,44.515625,44.640625,44.296875,44.640625,321300,0.0,0.004938271604938205,-0.009087731562390733,44.478125,44.81328125,0.007712943296278071,1
1994-05-16,25.262405395507812,44.53125,44.75,44.515625,44.609375,450400,0.0003510003510003301,0.0,0.004938271604938205,44.5125,44.81015625,0.006403614746405299,1
1994-05-17,25.63469123840332,45.1875,45.1875,44.5,44.5625,470200,0.01473684210526316,0.0003510003510003301,0.0,44.609375,44.8546875,0.008665181266684677,1
1994-05-18,25.82083511352539,45.515625,45.6875,45.015625,45.21875,824800,0.007261410788381717,0.01473684210526316,0.0003510003510003301,44.853125,44.9125,0.006030972705134271,1
1994-05-19,25.944927215576172,45.734375,45.859375,45.421875,45.421875,531000,0.004806041881222134,0.007261410788381717,0.01473684210526316,45.096875,44.98359375,0.006034107867136536,0
1994-05-20,25.84742546081543,45.5625,45.6875,45.5,45.65625,370400,-0.0037581141100102577,0.004806041881222134,0.007261410788381717,45.30625,45.01640625,0.007031387619980294,0
1994-05-23,25.80311393737793,45.484375,45.53125,45.34375,45.515625,262700,-0.0017146776406035125,-0.0037581141100102577,0.004806041881222134,45.496875,45.04765625,0.007400296907176147,1
1994-05-24,25.909486770629883,45.671875,45.84375,45.609375,45.609375,549600,0.0041222947440742175,-0.0017146776406035125,-0.0037581141100102577,45.59375,45.06484375,0.004661339734908195,1
1994-05-25,25.980392456054688,45.796875,45.828125,45.34375,45.5,738200,0.002736914129319201,0.0041222947440742175,-0.0017146776406035125,45.65,45.090625,0.0037741317824151726,1
